bundle_id,slug,title,keep,primary_stage,dependencies,downloads,stars,installs_current,checked_at,reason,review_note
academic-research-plus,arxiv-watcher,ArXiv Watcher,yes,information_acquisition,公共 API,9585,9,111,2026-04-08,如果研究涉及大模型、算力、算法前沿，ArXiv 监测是高价值入口。,已实装检查；带脚本；直接调用 ArXiv API；能力与名称一致。
academic-research-plus,google-scholar-search-skill,Google Scholar Search Skill,yes,information_acquisition,网页抓取/爬取,820,1,3,2026-04-08,Google Scholar 方向可选项不多，这个条目是相对更完整的候选。,已实装检查；带 Python 脚本和 requirements.txt；但本质是 Scholar 爬取方案，不如官方 API 稳。
academic-research-plus,research-paper-compare,Research Paper Compare,yes,analysis_modeling,需要论文全文,172,1,1,2026-04-08,对比分析是高价值研究动作，这个方向值得保留。,已实装检查；方法约束清楚；强调必须获取全文后再比较；适合作为高价值论文对比技能。
analysis-modeling-plus,afrexai-swot-analyzer,SWOT Analyzer,yes,analysis_modeling,分析框架，可配合检索,832,2,5,2026-04-08,适合作为固定分析模板型技能，尤其是策略部分。,已实装检查；更像高质量 SWOT 模板，适合分析建模增强包。
analysis-modeling-plus,competitor-analysis-report,Competitor Analysis Report,yes,analysis_modeling,外部检索工作流,1034,0,3,2026-04-09,竞对研究是常见智库任务，这个条目直接面向结构化竞品报告产出，适合补回分析建模包。,已实装检查；提供完整竞对报告框架、矩阵、SWOT 和建议结构；更像高质量研究模板，需结合公开资料检索使用。
analysis-modeling-plus,porters-five-forces,Porters Five Forces,yes,analysis_modeling,分析框架,99,0,1,2026-04-09,五力模型是典型商业分析框架，和分析建模包定位高度一致，值得保留一个专门条目。,已实装检查；内容较轻但框架清楚、边界明确；属于方法模板型 skill，不是自动抓数工具。
analysis-modeling-plus,strategic-competitor-analysis,Strategic Competitor Analysis,yes,analysis_modeling,分析框架,150,0,0,2026-04-09,适合补强竞对画像和竞争格局分析，让分析建模包不只剩 SWOT。,已实装检查；结构化程度高；覆盖竞争集合、画像、对比矩阵和战略含义；属于分析框架型 skill。
delivery-plus,baoyu-infographic,Baoyu Infographic,yes,visualization,依赖图像生成工作流,1367,1,44,2026-04-09,相比轻量信息图条目更完整，适合作为成果展示增强的主力候选。,已实装检查；references 很完整；覆盖 21 种布局和 20 种风格；更像成熟的信息图工作流，但依赖图像生成能力。
delivery-plus,article-to-infographic,Article to Infographic,yes,visualization,浏览器自动化,814,0,1,2026-04-08,信息图方向可选项不多，更适合做成果展示和传播材料。,已实装检查；包结构完整；但流程较重、确认步骤多，更适合增强包。
delivery-plus,office-to-pdf,office-to-pdf,yes,report_delivery,本地桌面 CLI,257,0,2,2026-04-09,交付前常有 Office 成果物统一转 PDF 的需求，这个条目适合作为补充转换能力。,已实装检查；能力单一但明确；依赖本地 LibreOffice headless CLI；更适合作为交付转换补充项。
delivery-plus,pdf-to-word,pdf-to-word,yes,document_processing,本地 Python,820,1,6,2026-04-09,PDF 转 Word 是高频交付前处理需求，这个条目比纯服务型候选更可控。,已实装检查；带 convert.py 和 requirements.txt；依赖 pdf2docx；复杂排版与扫描件效果有限。
field-research-plus,interview-analysis,Interview Analysis,yes,knowledge_structuring,模板工作流,2045,1,10,2026-04-10,适合把访谈记录整理成画像、洞察和评估卡，补强调研材料整理环节。,已实装检查；带 README 和多份模板；默认语境偏招聘访谈，但方法可迁移到专家访谈和用户访谈分析。
field-research-plus,interview-designer,Interview Designer,yes,information_acquisition,模板工作流,1847,3,10,2026-04-10,适合作为访谈提纲设计和追问设计工具，补强调研访谈执行前准备。,已实装检查；带 README、模板和参考资料；默认语境偏招聘面试，但提纲设计逻辑可迁移到调研访谈。
monitoring-and-insight,brave-api-search,Brave Api Search,yes,information_acquisition,需要 API Key,6309,1,29,2026-04-09,适合作为 Tavily 之外的补充搜索源，用于交叉验证和备份检索。,已实装检查；有独立 JS 工具文件；需要 BRAVE_SEARCH_API_KEY 和 BRAVE_ANSWERS_API_KEY。
